arm,family,length,trial,expected,predicted,extracted,correct
bare,modadd,5,1,23,23,True,True
bare,modadd,5,2,68,x,True,False
bare,modadd,5,3,95,95,True,True
bare,modadd,5,4,92,92,True,True
bare,modadd,5,5,59,59,True,True
bare,modadd,5,6,38,38,True,True
bare,modadd,5,7,89,89,True,True
bare,modadd,5,8,33,x,True,False
bare,modadd,5,9,1,1,True,True
bare,modadd,5,10,62,62,True,True
bare,modadd,5,11,73,73,True,True
bare,modadd,5,12,31,31,True,True
bare,modadd,5,13,61,61,True,True
bare,modadd,5,14,96,x,True,False
bare,modadd,5,15,22,22,True,True
bare,modadd,5,16,55,x,True,False
bare,modadd,5,17,9,9,True,True
bare,modadd,5,18,34,34,True,True
bare,modadd,5,19,59,x,True,False
bare,modadd,5,20,71,71,True,True
bare,modadd,10,1,4,4,True,True
bare,modadd,10,2,18,18,True,True
bare,modadd,10,3,29,29,True,True
bare,modadd,10,4,52,x,True,False
bare,modadd,10,5,66,66,True,True
bare,modadd,10,6,5,5,True,True
bare,modadd,10,7,7,x,True,False
bare,modadd,10,8,58,x,True,False
bare,modadd,10,9,46,46,True,True
bare,modadd,10,10,74,74,True,True
bare,modadd,10,11,92,92,True,True
bare,modadd,10,12,15,x,True,False
bare,modadd,10,13,96,96,True,True
bare,modadd,10,14,62,62,True,True
bare,modadd,10,15,71,71,True,True
bare,modadd,10,16,39,39,True,True
bare,modadd,10,17,9,9,True,True
bare,modadd,10,18,49,49,True,True
bare,modadd,10,19,80,80,True,True
bare,modadd,10,20,54,x,True,False
bare,modadd,20,1,27,x,True,False
bare,modadd,20,2,16,x,True,False
bare,modadd,20,3,44,x,True,False
bare,modadd,20,4,58,58,True,True
bare,modadd,20,5,16,16,True,True
bare,modadd,20,6,25,x,True,False
bare,modadd,20,7,23,23,True,True
bare,modadd,20,8,80,80,True,True
bare,modadd,20,9,35,x,True,False
bare,modadd,20,10,16,16,True,True
bare,modadd,20,11,60,60,True,True
bare,modadd,20,12,66,66,True,True
bare,modadd,20,13,62,x,True,False
bare,modadd,20,14,35,35,True,True
bare,modadd,20,15,61,61,True,True
bare,modadd,20,16,64,x,True,False
bare,modadd,20,17,71,x,True,False
bare,modadd,20,18,3,x,True,False
bare,modadd,20,19,7,7,True,True
bare,modadd,20,20,26,x,True,False
bare,modadd,30,1,62,x,True,False
bare,modadd,30,2,44,x,True,False
bare,modadd,30,3,75,x,True,False
bare,modadd,30,4,23,x,True,False
bare,modadd,30,5,90,x,True,False
bare,modadd,30,6,9,x,True,False
bare,modadd,30,7,68,68,True,True
bare,modadd,30,8,25,x,True,False
bare,modadd,30,9,47,x,True,False
bare,modadd,30,10,43,x,True,False
bare,modadd,30,11,14,14,True,True
bare,modadd,30,12,36,x,True,False
bare,modadd,30,13,43,43,True,True
bare,modadd,30,14,87,x,True,False
bare,modadd,30,15,62,62,True,True
bare,modadd,30,16,88,x,True,False
bare,modadd,30,17,17,x,True,False
bare,modadd,30,18,1,x,True,False
bare,modadd,30,19,9,x,True,False
bare,modadd,30,20,58,x,True,False
bare,modadd,40,1,82,x,True,False
bare,modadd,40,2,39,x,True,False
bare,modadd,40,3,22,x,True,False
bare,modadd,40,4,56,56,True,True
bare,modadd,40,5,8,8,True,True
bare,modadd,40,6,25,x,True,False
bare,modadd,40,7,95,95,True,True
bare,modadd,40,8,63,63,True,True
bare,modadd,40,9,81,81,True,True
bare,modadd,40,10,76,x,True,False
bare,modadd,40,11,55,x,True,False
bare,modadd,40,12,94,94,True,True
bare,modadd,40,13,73,x,True,False
bare,modadd,40,14,78,x,True,False
bare,modadd,40,15,16,16,True,True
bare,modadd,40,16,90,x,True,False
bare,modadd,40,17,85,x,True,False
bare,modadd,40,18,23,x,True,False
bare,modadd,40,19,6,x,True,False
bare,modadd,40,20,73,73,True,True
bare,switches,5,1,5,5,True,True
bare,switches,5,2,5,5,True,True
bare,switches,5,3,1,1,True,True
bare,switches,5,4,5,5,True,True
bare,switches,5,5,5,5,True,True
bare,switches,5,6,1,x,True,False
bare,switches,5,7,3,x,True,False
bare,switches,5,8,5,x,True,False
bare,switches,5,9,3,3,True,True
bare,switches,5,10,3,3,True,True
bare,switches,5,11,3,3,True,True
bare,switches,5,12,3,3,True,True
bare,switches,5,13,5,5,True,True
bare,switches,5,14,5,5,True,True
bare,switches,5,15,5,5,True,True
bare,switches,5,16,3,3,True,True
bare,switches,5,17,1,1,True,True
bare,switches,5,18,3,x,True,False
bare,switches,5,19,5,x,True,False
bare,switches,5,20,1,1,True,True
bare,switches,10,1,4,4,True,True
bare,switches,10,2,4,x,True,False
bare,switches,10,3,2,2,True,True
bare,switches,10,4,6,6,True,True
bare,switches,10,5,4,x,True,False
bare,switches,10,6,4,x,True,False
bare,switches,10,7,4,4,True,True
bare,switches,10,8,6,6,True,True
bare,switches,10,9,6,6,True,True
bare,switches,10,10,4,4,True,True
bare,switches,10,11,2,2,True,True
bare,switches,10,12,2,2,True,True
bare,switches,10,13,4,x,True,False
bare,switches,10,14,4,4,True,True
bare,switches,10,15,6,6,True,True
