arm,family,length,trials,correct,extracted,accuracy_pct
bare,modadd,5,20,15,20,75.0
bare,modadd,10,20,15,20,75.0
bare,modadd,20,20,10,20,50.0
bare,modadd,30,20,4,20,20.0
bare,modadd,40,20,8,20,40.0
bare,switches,5,20,15,20,75.0
bare,switches,10,20,15,20,75.0
bare,switches,20,20,11,20,55.0
bare,switches,30,20,5,20,25.0
bare,switches,40,20,2,20,10.0
bare,stack,5,20,17,20,85.0
bare,stack,10,20,14,20,70.0
bare,stack,20,20,7,20,35.0
bare,stack,30,20,6,20,30.0
bare,stack,40,20,7,20,35.0
verify,modadd,5,20,20,20,100.0
verify,modadd,10,20,19,20,95.0
verify,modadd,20,20,18,20,90.0
verify,modadd,30,20,18,20,90.0
verify,modadd,40,20,15,20,75.0
verify,switches,5,20,20,20,100.0
verify,switches,10,20,20,20,100.0
verify,switches,20,20,20,20,100.0
verify,switches,30,20,19,20,95.0
verify,switches,40,20,17,20,85.0
verify,stack,5,20,20,20,100.0
verify,stack,10,20,19,20,95.0
verify,stack,20,20,18,20,90.0
verify,stack,30,20,18,20,90.0
verify,stack,40,20,16,20,80.0
