mint,symbol,score,liq_usd,volume_usd,model_ev,realized_ev,survival,health,entry_price,exit_price,run_ts
Soiz4PANky9V715CTczfc5tXGGhLTGWdbWUqviZXXj8,OpenClaw,100,1081898.4737057537,32456954.21117261,9.54,-15.0,dead,skip,1.8676833463370584e-07,,2026-07-02T11:35:11.115222
Gak9rMEtTzyzzis5tATGCKY3yyF36wiQGrjU55h3pS47,XMONEY,100,1187817.435467417,35634523.064022504,9.54,203.131,live,skip,9.802892384915689e-08,2.988223613757195e-07,2026-07-02T11:35:11.115222
DxKGiQgZLHbGfQodAfCQfGgZWLRpjt79YTNL6roocQwM,KAST,100,1295959.713750983,38878791.41252948,9.54,170.13,live,skip,1.4510266190094317e-07,3.9443185270109183e-07,2026-07-02T11:35:11.115222
4BUwT9wsG7CTmvsAayohXzUPhdqD8GGfRpg4KHSjNZB7,USA250,100,1098564.499438965,32956934.983168952,9.54,-15.0,dead,skip,1.3402763374818452e-06,,2026-07-02T11:35:11.115222
FFHK3D7PZW7VU9fAtFACJCAjhPFYCrWAJCCTKEEbQBev,IRAN,100,355948.3491796191,10678450.475388573,9.54,31.468,live,skip,5.261954146775838e-07,7.007261066585857e-07,2026-07-02T11:35:11.115222
DSLkJZTCSDYrKtuMEohsbHqaUWZbhaggHKtD64HQ3aaj,Kraken,100,832848.8534533179,24985465.603599537,9.54,65.887,live,skip,1.0995516025725102e-06,1.8427052011679862e-06,2026-07-02T11:35:11.115222
EJXqkTa3cGGkgzXEQcbB9FQt1iTginM77JbS7smGtexu,Brands,100,496733.3146304534,14901999.438913602,9.54,-15.0,dead,skip,1.0148962786516041e-05,,2026-07-02T11:35:11.115222
56ZYUF6MoA4ix9ocf57woGzeYju6aaXCpwV75aDB51ku,CATWIF,100,187546.20933297757,5626386.279989327,9.31,-15.0,dead,skip,3.091302917966049e-08,,2026-07-02T11:35:11.115222
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,WETH,98,238427.00872161085,7152810.261648325,9.54,-2.93,live,skip,20.830824584034872,20.574654980522876,2026-07-02T11:35:11.115222
9Ssc4hq38MbzCimozLGq8guDjLaqeK7qCvJygqJWtg4n,250,100,101970.22972262606,3059106.8916787817,9.31,-15.0,dead,skip,2.7273987298099355e-08,,2026-07-02T11:35:11.115222
CfpyW6dps2SExf6Ut9orZS6oCyQhMtPTFPUf9FoRWUZF,NADO,100,159969.50756938575,4799085.227081573,9.31,-15.0,dead,skip,5.84987092465292e-07,,2026-07-02T11:35:11.115222
