[GOLD-ENTRY] SKIP $SUPERMAN G현 score 74 < 80 mode=none
[GOLD-ENTRY] SKIP $Potato G현 score 76 < 80 mode=none
[GOLD-ENTRY] SKIP $ANSOME G현 score 63 < 80 mode=none
[SCORE_GATE] SKIP $MeiMei G현 Score: 59 (Min: 80) | Mode: none (Reason: px5m > 10 (chase)) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MMGA G현 Score: 23 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PVE G현 Score: 53 (Min: 80) | Mode: none (Reason: volMom < 0.05, px5m > 10 (chase)) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PAYLX G현 Score: 45 (Min: 80) | Mode: MG | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MURAD G현 Score: 60 (Min: 80) | Mode: none (Reason: age > 14400, px5m > 10 (chase)) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $LUKE G현 Score: 36 (Min: 80) | Mode: MG | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $VITALY G현 Score: 44 (Min: 80) | Mode: none (Reason: age > 14400, px5m > 10 (chase), hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $CREDIBULL G현 Score: 50 (Min: 80) | Mode: none (Reason: px5m > 10 (chase), hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $ZAYED G현 Score: 19 (Min: 80) | Mode: none (Reason: score too low, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $dog G현 Score: 34 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $HIM G현 Score: 25 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $VRISE G현 Score: 32 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $ALON G현 Score: 26 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $SUPERMAN G현 Score: 31 (Min: 80) | Mode: HWR | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $ANSOME G현 Score: 20 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $Pompliano G현 Score: 37 (Min: 80) | Mode: HWR | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PEPEME G현 Score: 17 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $TESTIBULL G현 Score: 16 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $NAVE G현 Score: 9 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, tx5m < 8, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $cope G현 Score: 6 (Min: 80) | Mode: none (Reason: score too low, liq < 10000, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PATTYICE G현 Score: 1 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PULLOUT G현 Score: 1 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $bull G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $burn G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, liq < 10000, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MURAD G현 Score: 50 (Min: 80) | Mode: none (Reason: age > 14400, px5m > 10 (chase)) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $G蝦 G현 Score: 43 (Min: 80) | Mode: none (Reason: px5m > 10 (chase)) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PAYLX G현 Score: 4 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $VRISE G현 Score: 49 (Min: 80) | Mode: none (Reason: px5m > 10 (chase), hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $LUKE G현 Score: 24 (Min: 80) | Mode: MG | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $VITALY G현 Score: 35 (Min: 80) | Mode: none (Reason: age > 14400, px5m > 10 (chase), hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $CREDIBULL G현 Score: 30 (Min: 80) | Mode: none (Reason: px5m > 10 (chase), hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $Pompliano G현 Score: 27 (Min: 80) | Mode: HWR | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $dog G현 Score: 27 (Min: 80) | Mode: none (Reason: score too low, age > 14400) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $ZAYED G현 Score: 6 (Min: 80) | Mode: none (Reason: score too low, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $SUPERMAN G현 Score: 28 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $HIM G현 Score: 25 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $TESTIBULL G현 Score: 6 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PEPEME G현 Score: 4 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MMGA G현 Score: 17 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MeiMei G현 Score: 16 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $ANSOME G현 Score: 22 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $NAVE G현 Score: 10 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $cope G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, liq < 10000, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PULLOUT G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $bull G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PATTYICE G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $VAMPLESS G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, liq < 10000, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $burn G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, liq < 10000, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $HIM G현 Score: 37 (Min: 80) | Mode: HWR | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $VRISE G현 Score: 49 (Min: 80) | Mode: none (Reason: px5m > 10 (chase), hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $G蝦 G현 Score: 43 (Min: 80) | Mode: none (Reason: px5m > 10 (chase)) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MURAD G현 Score: 43 (Min: 80) | Mode: none (Reason: age > 14400, px5m > 10 (chase)) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $VITALY G현 Score: 40 (Min: 80) | Mode: none (Reason: age > 14400, px5m > 10 (chase)) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PULLOUT G현 Score: 29 (Min: 80) | Mode: none (Reason: score too low, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $CREDIBULL G현 Score: 25 (Min: 80) | Mode: MG | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $ALON G현 Score: 27 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $LUKE G현 Score: 26 (Min: 80) | Mode: MG | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $Pompliano G현 Score: 24 (Min: 80) | Mode: HWR | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $SUPERMAN G현 Score: 22 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MMGA G현 Score: 20 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $ZAYED G현 Score: 19 (Min: 80) | Mode: none (Reason: score too low, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MeiMei G현 Score: 15 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $ANSOME G현 Score: 13 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PAYLX G현 Score: 7 (Min: 80) | Mode: none (Reason: score too low, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PEPEME G현 Score: 4 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $TESTIBULL G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $bull G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $BARRON G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PATTYICE G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $VAMPLESS G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, liq < 10000, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $burn G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, liq < 10000, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $cope G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, liq < 10000, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $HIM G현 Score: 36 (Min: 80) | Mode: HWR | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $G蝦 G현 Score: 40 (Min: 80) | Mode: none (Reason: px5m > 10 (chase), hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $cope G현 Score: 41 (Min: 80) | Mode: none (Reason: liq < 10000, px5m > 10 (chase)) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $dog G현 Score: 35 (Min: 80) | Mode: MG | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $VRISE G현 Score: 49 (Min: 80) | Mode: none (Reason: px5m > 10 (chase)) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $ALON G현 Score: 30 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $VITALY G현 Score: 34 (Min: 80) | Mode: none (Reason: age > 14400, px5m > 10 (chase), hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $CREDIBULL G현 Score: 30 (Min: 80) | Mode: none (Reason: px5m > 10 (chase), hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $SUPERMAN G현 Score: 33 (Min: 80) | Mode: MG | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $Pompliano G현 Score: 27 (Min: 80) | Mode: HWR | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PULLOUT G현 Score: 28 (Min: 80) | Mode: none (Reason: score too low, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MURAD G현 Score: 24 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MMGA G현 Score: 21 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $burn G현 Score: 15 (Min: 80) | Mode: none (Reason: score too low, liq < 10000, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MeiMei G현 Score: 15 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $ANSOME G현 Score: 8 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $LUKE G현 Score: 4 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PEPEME G현 Score: 4 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $TESTIBULL G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $ZAYED G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $bull G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $TBB G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PAYLX G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $PATTYICE G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, age > 14400, px5m < 1.2, hwrBp5m < 0.55, bp1h < 0.51) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $VAMPLESS G현 Score: 0 (Min: 80) | Mode: none (Reason: score too low, liq < 10000, px5m < 1.2, hwrBp5m < 0.55) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $MURAD G현 Score: 27 (Min: 80) | Mode: none (Reason: score too low, age > 14400) | Size: 0.0050 (Min: 0.005)
[SCORE_GATE] SKIP $Pompliano G현 Score: 58 (Min: 80) | Mode: MG | Size: 0.0050 (Min: 0.005)
[SAFETY-VETO] $HIM HARD-VETO on risk flag: Single holder ownership
[SAFETY-VETO] $ALON HARD-VETO on risk flag: Single holder ownership
[SAFETY-VETO] $dog HARD-VETO on risk flag: Single holder ownership
[SAFETY-VETO] $HIM HARD-VETO on risk flag: Single holder ownership
[SAFETY-VETO] $Potato HARD-VETO (LP-unlocked discriminator): lp_unlocked_whale_distribution(netSell=4>=3)
[ENGINE] ML Service connected
